cve_ent;cve_mun;cve_loc;nom_loc;;;;
01;000;0000;Aguascalientes;;;;
01;001;0000;Aguascalientes;;;;
01;001;0001;Aguascalientes;;;;
01;001;0106;Arellano;;;;
01;001;0120;Buenavista de Peñuelas;;;;
01;001;0121;Cabecita 3 Marías (Rancho Nuevo);;;;
01;001;0125;Cañada Grande de Cotorina;;;;
01;001;0126;Cañada Honda [Estación];;;;
01;001;0127;Los Caños;;;;
01;001;0135;El Cedazo (Cedazo de San Antonio);;;;
01;001;0138;Centro de Arriba (El Taray);;;;
01;001;0139;Cieneguilla (La Lumbrera);;;;
01;001;0171;Los Cuervos (Los Ojos de Agua);;;;
01;001;0190;El Duraznillo;;;;
01;001;0191;Los Durón;;;;
01;001;0237;Jaltomate;;;;
01;001;0239;General José María Morelos y Pavón (Cañada Honda);;;;
01;001;0256;La Loma de los Negritos;;;;
01;001;0265;El Malacate;;;;
01;001;0272;Matamoros [Congregación];;;;
01;001;0291;Los Negritos;;;;
01;001;0292;El Niágara;;;;
01;001;0293;Norias de Ojocaliente;;;;
01;001;0296;El Ocote;;;;
01;001;0315;Peñuelas (El Cienegal);;;;
01;001;0345;El Refugio de Peñuelas;;;;
01;001;0355;El Salto de los Salado;;;;
01;001;0366;Ejido San Antonio de los Pedroza;;;;
01;001;0367;San Antonio de Peñuelas;;;;
01;001;0370;San Felipe [Viñedos];;;;
01;001;0379;San Ignacio;;;;
01;001;0389;San José de la Ordeña;;;;
01;001;0410;San Pedro Cieneguilla;;;;
01;001;0422;Santa Cruz de la Presa (La Tlacuacha);;;;
01;001;0429;Santa María de Gallardo;;;;
01;001;0437;Soledad de Abajo;;;;
01;001;0444;El Tanque de los Jiménez;;;;
01;001;0461;Tanque el Trigo;;;;
01;001;0479;Villa Licenciado Jesús Terán (Calvillito);;;;
01;001;0497;Las Ánimas;;;;
01;001;0526;El Cardón;;;;
01;001;0569;Los Pargas [Rancho];;;;
01;001;0575;Ex-Hacienda de Agostaderito;;;;
01;001;0576;Ex-Hacienda de Montoro;;;;
01;001;0597;El Guarda;;;;
01;001;0648;Norias de Cedazo (Cedazo Norias de Montoro);;;;
01;001;0651;Ojo de Agua de Palmitas;;;;
01;001;0720;San Nicolás de Arriba;;;;
01;001;0863;Cotorina (Coyotes);;;;
01;001;0866;Montoro (Mesa del Salto);;;;
01;001;1025;Pocitos;;;;
01;001;1075;El Relicario;;;;
01;001;1172;Ex-Hacienda de Peñuelas;;;;
01;001;1183;Lomas de Nueva York;;;;
01;001;2016;Ampliación de Calvillito (Colonia la Herrada);;;;
01;001;2017;Ampliación del Conejal;;;;
01;001;2020;Buenavista;;;;
01;001;2024;Cañada Grande;;;;
01;001;2056;Emiliano Zapata;;;;
01;001;2151;Playas de Guadalupe;;;;
01;001;2208;Santa Isabel (El Tajito);;;;
01;001;2281;La Primavera [Granja];;;;
01;001;2352;Norias de Paso Hondo (La Lomita) [Ejido];;;;
01;001;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;001;9999;Localidad no especificada;;;;
01;002;0000;Asientos;;;;
01;002;0001;Asientos;;;;
01;002;0002;Las Adjuntas;;;;
01;002;0003;Licenciado Adolfo López Mateos;;;;
01;002;0005;Amarillas de Esparza;;;;
01;002;0007;Bimbaletes Aguascalientes (El Álamo);;;;
01;002;0008;Bimbaletes Atlas (Tanque de la Vieja);;;;
01;002;0009;Emancipación (Borunda) [Colonia];;;;
01;002;0010;Caldera;;;;
01;002;0011;Ciénega Grande;;;;
01;002;0012;Clavellinas;;;;
01;002;0014;Crisóstomos;;;;
01;002;0015;Charco Azul;;;;
01;002;0017;La Dichosa;;;;
01;002;0019;La Esperanza;;;;
01;002;0020;El Epazote;;;;
01;002;0021;Las Fraguas;;;;
01;002;0022;Francisco Villa;;;;
01;002;0023;La Gloria;;;;
01;002;0024;Gorriones;;;;
01;002;0025;Guadalupe de Atlas;;;;
01;002;0027;Jarillas;;;;
01;002;0028;Jilotepec;;;;
01;002;0030;Lázaro Cárdenas;;;;
01;002;0033;Molinos;;;;
01;002;0034;Las Negritas;;;;
01;002;0035;Noria del Borrego (Norias);;;;
01;002;0036;Ojo de Agua de Rosales;;;;
01;002;0037;Ojo de Agua de los Sauces;;;;
01;002;0039;Pilotos;;;;
01;002;0040;Pino Suárez (Rancho Viejo);;;;
01;002;0041;El Polvo;;;;
01;002;0045;El Salitre;;;;
01;002;0046;San Antonio de los Martínez;;;;
01;002;0047;San Gil;;;;
01;002;0048;San José del Río;;;;
01;002;0051;San Rafael de Ocampo;;;;
01;002;0053;Tanque de Guadalupe;;;;
01;002;0054;Tanque Viejo;;;;
01;002;0055;El Tepetatillo [Rancho];;;;
01;002;0058;El Tule;;;;
01;002;0059;Villa Juárez;;;;
01;002;0060;Viudas de Poniente;;;;
01;002;0128;San José del Tulillo;;;;
01;002;0243;San Vicente;;;;
01;002;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;002;9999;Localidad no especificada;;;;
01;003;0000;Calvillo;;;;
01;003;0001;Calvillo;;;;
01;003;0004;Las Ánimas;;;;
01;003;0009;Barranca de Portales;;;;
01;003;0020;Colomos;;;;
01;003;0021;El Cuervero (Cuerveros);;;;
01;003;0024;Chiquihuitero (San Isidro);;;;
01;003;0025;La Fragua;;;;
01;003;0032;Jaltiche de Abajo;;;;
01;003;0033;Jaltiche de Arriba;;;;
01;003;0036;La Labor;;;;
01;003;0041;El Maguey;;;;
01;003;0043;Malpaso;;;;
01;003;0045;La Media Luna;;;;
01;003;0047;Mesa Grande;;;;
01;003;0055;Ojocaliente;;;;
01;003;0056;Arroyo Ojocalientillo;;;;
01;003;0057;Ojo de Agua;;;;
01;003;0059;Palo Alto;;;;
01;003;0060;La Panadera;;;;
01;003;0064;Los Patos;;;;
01;003;0065;Piedras Chinas;;;;
01;003;0069;Presa de los Serna;;;;
01;003;0074;La Rinconada;;;;
01;003;0078;El Rodeo;;;;
01;003;0079;El Salitre;;;;
01;003;0084;San Tadeo;;;;
01;003;0088;El Sauz;;;;
01;003;0090;Temazcal;;;;
01;003;0094;La Teresa;;;;
01;003;0095;El Terrero de la Labor;;;;
01;003;0098;Las Tinajas;;;;
01;003;0105;El Zapote de la Labor;;;;
01;003;0110;Crucero las Pilas;;;;
01;003;0132;El Mirador;;;;
01;003;0171;Puerta de Fragua (Presa la Codorniz);;;;
01;003;0184;Tepezalilla de Abajo;;;;
01;003;0185;El Tepetate de Abajo;;;;
01;003;0220;El Chiquihuite;;;;
01;003;0222;Valle Huejúcar [Fraccionamiento Popular];;;;
01;003;0320;Solidaridad [Fraccionamiento];;;;
01;003;0321;El Carmen [Granja];;;;
01;003;0369;San Rafael;;;;
01;003;0374;El Terrero (El Terrerito);;;;
01;003;0381;Licenciado Adolfo López Mateos [Colonia];;;;
01;003;0382;La Fortuna;;;;
01;003;0385;El Morancillo (Los Arcos);;;;
01;003;0401;Potrero de los López;;;;
01;003;0414;Antorchistas [Fraccionamiento];;;;
01;003;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;003;9999;Localidad no especificada;;;;
01;004;0000;Cosío;;;;
01;004;0001;Cosío;;;;
01;004;0011;El Durazno;;;;
01;004;0018;Guadalupito;;;;
01;004;0025;El Refugio de Providencia (Providencia);;;;
01;004;0026;La Punta;;;;
01;004;0028;El Refugio de Agua Zarca;;;;
01;004;0030;El Salero;;;;
01;004;0032;Santa María de la Paz;;;;
01;004;0033;Soledad de Abajo [Estación de Adames];;;;
01;004;0034;Soledad de Arriba;;;;
01;004;0038;Zacatequillas;;;;
01;004;0047;La Esperanza (El Salerito);;;;
01;004;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;004;9999;Localidad no especificada;;;;
01;005;0000;Jesús María;;;;
01;005;0001;Jesús María;;;;
01;005;0007;Los Arquitos;;;;
01;005;0013;Brownsville;;;;
01;005;0015;Cañada el Rodeo;;;;
01;005;0017;El Cenizo;;;;
01;005;0023;Corral de Barrancos;;;;
01;005;0029;La Chaveña;;;;
01;005;0033;General Ignacio Zaragoza (Venadero);;;;
01;005;0034;Gracias a Dios;;;;
01;005;0037;Miravalle;;;;
01;005;0040;Las Jaulas;;;;
01;005;0041;Jesús Gómez Portugal (Margaritas);;;;
01;005;0043;La Loma de Valladolid;;;;
01;005;0050;Maravillas;;;;
01;005;0060;Pedernal Primero;;;;
01;005;0066;Paso Blanco;;;;
01;005;0076;Los Ramírez;;;;
01;005;0078;Ejido la Guayana (Rancho Seco);;;;
01;005;0084;San Antonio de los Horcones;;;;
01;005;0087;San Isidro;;;;
01;005;0104;Tapias Viejas;;;;
01;005;0105;Tepetates;;;;
01;005;0106;La Tomatina;;;;
01;005;0109;Valladolid;;;;
01;005;0111;Los Vázquez;;;;
01;005;0118;Viñedos Eva (Fraccionamiento Paso Blanco);;;;
01;005;0126;El Aurero;;;;
01;005;0180;La Florida;;;;
01;005;0207;Los Arenales;;;;
01;005;0208;Buenavista;;;;
01;005;0234;La Guayana [Hacienda];;;;
01;005;0241;Loma Alta (La Loma);;;;
01;005;0248;Milpillas de Abajo;;;;
01;005;0306;La Cañada;;;;
01;005;0311;El Chaveño;;;;
01;005;0364;San Miguel [Rancho];;;;
01;005;0427;Paseos de Aguascalientes;;;;
01;005;0468;Arboledas Paso Blanco [Fraccionamiento];;;;
01;005;0482;Paseos de las Haciendas [Fraccionamiento];;;;
01;005;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;005;9999;Localidad no especificada;;;;
01;006;0000;Pabellón de Arteaga;;;;
01;006;0001;Pabellón de Arteaga;;;;
01;006;0002;Las Ánimas;;;;
01;006;0005;Gámez Orozco (Puerta de Carboneras) [Colonia];;;;
01;006;0007;Emiliano Zapata;;;;
01;006;0010;El Garabato;;;;
01;006;0024;Ojo Zarco [Colonia];;;;
01;006;0035;El Rayo;;;;
01;006;0040;San Luis de Letras;;;;
01;006;0045;Santiago;;;;
01;006;0047;Miguel Alemán [Secadora];;;;
01;006;0166;El Refugio;;;;
01;006;0185;Ejido Ojo Zarco (La Loma);;;;
01;006;0249;San Agustín de los Puentes;;;;
01;006;0260;Colonia Nueva;;;;
01;006;0264;Ejido el Mezquite (Ojo de Agua del Mezquite);;;;
01;006;0302;Santa Isabel [Fraccionamiento];;;;
01;006;0341;El Milagro;;;;
01;006;0429;San José de Buenavista [Rancho];;;;
01;006;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;006;9999;Localidad no especificada;;;;
01;007;0000;Rincón de Romos;;;;
01;007;0001;Rincón de Romos;;;;
01;007;0002;El Ajiladero;;;;
01;007;0006;El Bajío;;;;
01;007;0010;La Boquilla;;;;
01;007;0011;California;;;;
01;007;0016;16 de Septiembre;;;;
01;007;0018;Pablo Escaleras;;;;
01;007;0020;Fresnillo;;;;
01;007;0023;Mar Negro;;;;
01;007;0024;El Milagro;;;;
01;007;0027;Morelos;;;;
01;007;0028;Estancia de Mosqueira;;;;
01;007;0030;Pabellón de Hidalgo;;;;
01;007;0034;Puerta del Muerto (El 15);;;;
01;007;0035;Rincón de Romos [Estación];;;;
01;007;0040;San Jacinto;;;;
01;007;0041;San Juan de la Natura;;;;
01;007;0043;El Saucillo;;;;
01;007;0044;El Valle de las Delicias;;;;
01;007;0101;Túnel de Potrerillo;;;;
01;007;0112;El Salitrillo;;;;
01;007;0161;San Antonio [Granja];;;;
01;007;0375;Rancho Guadalupe (La Puerta del Muerto);;;;
01;007;0453;Escaleras;;;;
01;007;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;007;9999;Localidad no especificada;;;;
01;008;0000;San José de Gracia;;;;
01;008;0001;San José de Gracia;;;;
01;008;0007;Santa Elena de la Cruz (Capadero);;;;
01;008;0011;La Congoja;;;;
01;008;0018;Paredes;;;;
01;008;0021;Potrero de los López;;;;
01;008;0023;San Antonio de los Ríos;;;;
01;008;0030;Túnel de Potrerillo;;;;
01;008;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;008;9999;Localidad no especificada;;;;
01;009;0000;Tepezalá;;;;
01;009;0001;Tepezalá;;;;
01;009;0004;Los Alamitos;;;;
01;009;0005;Arroyo Hondo;;;;
01;009;0006;El Barranco;;;;
01;009;0008;Carboneras;;;;
01;009;0009;El Carmen;;;;
01;009;0012;El Chayote;;;;
01;009;0013;El Gigante;;;;
01;009;0015;Mesillas;;;;
01;009;0016;Ojo de Agua de los Montes;;;;
01;009;0019;El Porvenir;;;;
01;009;0022;Puerto de la Concepción;;;;
01;009;0024;El Refugio;;;;
01;009;0025;San Antonio;;;;
01;009;0028;El Tepozán;;;;
01;009;0030;La Victoria;;;;
01;009;0051;Caldera;;;;
01;009;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;009;9999;Localidad no especificada;;;;
01;010;0000;El Llano;;;;
01;010;0001;Palo Alto;;;;
01;010;0018;Los Conos;;;;
01;010;0021;El Copetillo (El Moquete);;;;
01;010;0027;Francisco Sarabia (La Reforma);;;;
01;010;0039;Licenciado Jesús Terán (El Muerto);;;;
01;010;0041;Lomas del Refugio (La Loma);;;;
01;010;0042;La Luz;;;;
01;010;0049;El Milagro;;;;
01;010;0054;Montoya;;;;
01;010;0057;El Novillo;;;;
01;010;0058;Ojo de Agua de Crucitas;;;;
01;010;0074;El Retoño;;;;
01;010;0079;San Antonio de la Rosa;;;;
01;010;0080;Sandovales (San Miguel de los Sandovales);;;;
01;010;0083;San Francisco de los Viveros;;;;
01;010;0100;Santa Clara (Las Mieleras);;;;
01;010;0107;Santa Rosa (El Huizache);;;;
01;010;0114;Tanque el Coyote (El Coyote);;;;
01;010;0116;El Terremoto;;;;
01;010;0118;El Tildío;;;;
01;010;0119;La Tinaja;;;;
01;010;0124;La Unión (La Paz);;;;
01;010;0213;El Llano [CERESO];;;;
01;010;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;010;9999;Localidad no especificada;;;;
01;011;0000;San Francisco de los Romo;;;;
01;011;0001;San Francisco de los Romo;;;;
01;011;0003;Amapolas del Río;;;;
01;011;0006;Borrotes;;;;
01;011;0011;Macario J. Gómez [Colonia];;;;
01;011;0012;La Concepción;;;;
01;011;0016;Chicalote [Estación];;;;
01;011;0019;Urbivilla del Vergel [Fraccionamiento];;;;
01;011;0021;La Escondida (El Salero);;;;
01;011;0042;Loretito (Charco del Toro);;;;
01;011;0051;La Providencia;;;;
01;011;0052;Paseos de la Providencia [Fraccionamiento];;;;
01;011;0053;Puertecito de la Virgen;;;;
01;011;0064;San José (San José de Buenavista);;;;
01;011;0073;El Tepetate;;;;
01;011;0080;Viñedos Rivier;;;;
01;011;0100;El Barranco [Ladrillera];;;;
01;011;0110;Rancho Nuevo;;;;
01;011;0128;Ex-Viñedos Guadalupe;;;;
01;011;0138;La Ribera [Fraccionamiento];;;;
01;011;0139;El Cardonal [Fraccionamiento];;;;
01;011;0145;Santa Fe [Fraccionamiento];;;;
01;011;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
01;011;9999;Localidad no especificada;;;;
01;999;0000;Municipio no especificado;;;;
01;999;9999;Localidad no especificada;;;;
02;000;0000;Baja California;;;;
02;001;0000;Ensenada;;;;
02;001;0001;Ensenada;;;;
02;001;0046;Bahía de los Ángeles;;;;
02;001;0060;Camalú;;;;
02;001;0095;Ejido Eréndira;;;;
02;001;0114;Francisco Zarco (Valle de Guadalupe);;;;
02;001;0118;Licenciado Gustavo Díaz Ordaz;;;;
02;001;0124;Isla de Cedros;;;;
02;001;0139;Rodolfo Sánchez Taboada (Maneadero);;;;
02;001;0151;La Misión;;;;
02;001;0186;Ejido México (Punta Colonet);;;;
02;001;0190;Real del Castillo Nuevo (Ojos Negros);;;;
02;001;0242;Santo Tomás;;;;
02;001;0243;San Vicente;;;;
02;001;0268;Vicente Guerrero;;;;
02;001;0271;Villa de Juárez (San Antonio de las Minas);;;;
02;001;0617;El Porvenir (Guadalupe);;;;
02;001;0660;Punta Prieta;;;;
02;001;0842;Ejido Villa Jesús María;;;;
02;001;0857;San Quintín;;;;
02;001;0935;Lázaro Cárdenas (Valle de la Trinidad);;;;
02;001;0942;Uruapan;;;;
02;001;1001;Cataviña;;;;
02;001;1025;Poblado Héroes de Chapultepec;;;;
02;001;1162;Ampliación el Porvenir;;;;
02;001;1460;Loma Linda;;;;
02;001;2465;El Rosario;;;;
02;001;4068;San Carlos (Ejido Nacionalista);;;;
02;001;5110;El Sauzal [Rancho];;;;
02;001;7777;Cifra confidencial. Establecido en la Ley del SNIEG.;;;;
02;001;9999;Localidad no especificada;;;;
02;002;0000;Mexicali;;;;
02;002;0001;Mexicali;;;;
02;002;0110;Colonia Venustiano Carranza (La Carranza);;;;
02;002;0111;Vicente Guerrero (Algodones);;;;
02;002;0127;Ejido Tabasco;;;;
02;002;0141;Ejido Tamaulipas (Estación Cucapah);;;;
02;002;0143;Ejido Colima 1;;;;
02;002;0152;Ejido Cucapah Indígena;;;;
02;002;0157;Ejido Chiapas 1;;;;
02;002;0158;Ejido Chihuahua;;;;
02;002;0159;Delta (Estación Delta);;;;
02;002;0161;Ejido Monterrey (Colonia Batáquez);;;;
02;002;0166;Veracruz Uno;;;;
02;002;0167;Ejido Distrito Federal;;;;
02;002;0169;Ejido Durango;;;;
02;002;0183;Ejido Guadalajara;;;;
02;002;0185;Ciudad Guadalupe Victoria (Kilómetro Cuarenta y Tres);;;;
02;002;0186;Ejido Guanajuato;;;;
02;002;0191;General Heriberto Jara;;;;
02;002;0192;Ejido Hermosillo;;;;
02;002;0194;Colonia Hidalgo (González Ortega Dos);;;;
02;002;0202;Ejido Jalapa;;;;
02;002;0203;Ejido Jalisco;;;;
02;002;0206;Ejido Jiquilpan;;;;
02;002;0211;Ejido Lázaro Cárdenas (La Mosca);;;;
02;002;0212;Poblado Lázaro Cárdenas (La Veintiocho);;;;
02;002;0223;Ejido México;;;;
02;002;0225;Michoacán de Ocampo;;;;
02;002;0227;Ejido Sinaloa (Estación Kasey);;;;
02;002;0229;Islas Agrarias Grupo A;;;;
02;002;0231;Ciudad Morelos (Cuervos);;;;
02;002;0234;Nayarit Llamada;;;;
02;002;0242;Ejido Yucatán;;;;
02;002;0248;Ejido Pachuca;;;;
02;002;0251;Ejido Pátzcuaro;;;;
02;002;0253;Ejido Toluca;;;;
02;002;0256;Estación Pescaderos (Kilómetro Treinta y Nueve);;;;
02;002;0258;Ejido Plan de Ayala;;;;
02;002;0259;Colonia Pólvora;;;;
02;002;0262;Puebla;;;;
02;002;0265;Poblado Puente Treviño;;;;
02;002;0266;Colonia la Puerta;;;;
02;002;0267;Ejido República Mexicana;;;;
02;002;0268;Ejido Hechicera;;;;
02;002;0270;Ejido Quintana Roo;;;;
02;002;0275;Ejido Tlaxcala;;;;
02;002;0282;Ejido Saltillo;;;;
02;002;0284;San Felipe;;;;
02;002;0289;Santa Isabel;;;;
02;002;0291;Ejido Sonora;;;;
02;002;0295;Ejido San Luis Potosí;;;;
02;002;0320;Compuertas Ocho del Tule Check (Sección Dos);;;;
02;002;0327;Ejido Netzahualcóyotl;;;;
02;002;0333;Ejido el Choropo (Colonia Colorado Número Uno);;;;
02;002;0358;Poblado Alfredo V. Bonfil;;;;
02;002;0362;Ejido el Marítimo;;;;
02;002;0378;Jesús Sansón Flores;;;;
02;002;0394;Ricardo Mazón Guerrero (Colonia Baja California el Polvorín);;;;
02;002;0395;Francisco Murguía (Kilómetro Cuarenta y Nueve);;;;
02;002;0406;José López Portillo (Colonia Venustiano Carranza);;;;
02;002;0412;Ejido Plan Nacional Agrario;;;;
02;002;0456;Benito Juárez (Ejido Tecolotes);;;;
02;002;0459;Poblado Paredones;;;;
