clave,descripcion
1,Un día calendario
2,Dos día calendario
3,Tres día calendario
4,Cuatro día calendario
5,Cinco día calendario
6,Seis día calendario
7,Siete día calendario
8,Ocho día calendario
9,Nueve día calendario
10,Diez día calendario
11,Once día calendario
12,Doce día calendario
13,Trece día calendario
14,Catorce día calendario
15,Quince día calendario
16,Dieciséis día calendario
17,Diecisiete día calendario
18,Dieciocho día calendario
19,Diecinueve día calendario
20,Veinte día calendario
21,Veintiuno día calendario
22,Veintidós día calendario
23,Veintitrés día calendario
24,Veinticuatro día calendario
25,Veinticinco día calendario
26,Veintiséis día calendario
27,Veintisiete día calendario
28,Veintiocho día calendario
29,Veintinueve día calendario
30,Treinta día calendario
31,Treinta y uno día calendario
99,No especificado
