clave,descripcion
901,Silacayoapam
902,Huajuapam
903,Coixtlahuaca
904,Teotitlán
905,Cuicatlán
906,Tuxtepec
907,Choapam
908,Juxtlahuaca
909,Teposcolula
910,Nochixtlán
911,Etla
912,B. Distr. de Ixtlán de Juárez
913,Villa Alta
914,Mixe
915,Putla
916,Tlaxiaco
917,Zaachila
918,Zimatlán
919,Centro
920,Tlacolula
921,Jamiltepec
922,Juquila
923,Sola de Vega
924,Ejutla
925,Ocotlán
926,Miahuatlán
927,Yautepec
928,Tehuantepec
929,Juchitán
930,Pochutla
999,Municipio no especificado
