clave,descripcion
1,De 1 a 999 habitantes
2,De 1000 a 1999 habitantes
3,De 2000 a 2499 habitantes
4,De 2500 a 4999 habitantes
5,De 5000 a 9999 habitantes
6,De 10000 a 14999 habitantes
7,De 15000 a 19999 habitantes
8,De 20000 a 29999 habitantes
9,De 30000 a 39999 habitantes
10,De 40000 a 49999 habitantes
11,De 50000 a 74999 habitantes
12,De 75000 a 99999 habitantes
13,De 100000 a 249999 habitantes
14,De 250000 a 499999 habitantes
15,De 500000 a 999999 habitantes
16,De 1000000 a 1449999 habitantes
17,De 1500000 y más habitantes
99,No especificado
